"Paper_title"	"Paper_author"	"Data_extraction_method"	"Sel_coeff"	"Error_new"	"Sel_temp"	"Assay_temp"	"Rel_assay_temp"	"Abs_rel_assay_temp"	"Sign"	"Side"	"No_of_Gen"	"Recombination"	"Type_Gen_var"	"Ans_vs_Control"	"Study_ID"	"Curve_ID"	"Genus"	"Species"	"Scientific_name"	"Exp_Design"
"11"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.101851852	0.033075801	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_2"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"12"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.340206186	0.068266334	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_2"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"13"	"Rapid thermal adaptation in photosymbionts of reef-building corals"	"(Chakravarti et al., 2017)"	"Supplementary information"	-0.14854564	0.113505182	31	27	-4	4	"high"	"negative"	80	"no"	"denovo"	"Control"	"Chakravarti_et_al_2017"	"Chakravarti_et_al_2017"	"Symbiodinium"	"sp"	"Symbiodinium sp"	"SH_TL"
"14"	"Rapid thermal adaptation in photosymbionts of reef-building corals"	"(Chakravarti et al., 2017)"	"Supplementary information"	1.203767775	0.120335461	31	31	0	0	"high"	"negative"	80	"no"	"denovo"	"Control"	"Chakravarti_et_al_2017"	"Chakravarti_et_al_2017"	"Symbiodinium"	"sp"	"Symbiodinium sp"	"SH_TL"
"15"	"Adaptation of Paramecium caudatum to variable conditions of temperature Stress	"	"(Duncan et al., 2011)"	"Author"	-0.025131973	0.021590772	35	23	-12	12	"high"	"negative"	40	"no"	"denovo"	"Control"	"Duncan_et_al_2011"	"Duncan_et_al_2011"	"Paramecium"	"caudatum"	"Paramecium caudatum"	"SH_TL"
"16"	"Adaptation of Paramecium caudatum to variable conditions of temperature Stress	"	"(Duncan et al., 2011)"	"Author"	0.027512599	0.025706111	35	35	0	0	"high"	"negative"	40	"no"	"denovo"	"Control"	"Duncan_et_al_2011"	"Duncan_et_al_2011"	"Paramecium"	"caudatum"	"Paramecium caudatum"	"SH_TL"
"17"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	-0.00456621	0.018291258	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"18"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	-0.016853933	0.015756704	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"19"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	0.028301887	0.0169836	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_2"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"20"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	0.02301496	0.016507171	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_2"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"21"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.328061774	0.069823739	28	24	-4	4	"high"	"negative"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_1"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"	"SH_TL"
"22"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.480277097	0.271669718	28	28	0	0	"high"	"negative"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_1"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"	"SH_TL"
"23"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.167411823	0.05266045	28	24	-4	4	"high"	"negative"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_2"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"	"SH_TL"
"24"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	0.204657292	0.144778286	28	28	0	0	"high"	"negative"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_2"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"	"SH_TL"
"25"	"Rapid Laboratory Evolution of Adult Life-History Traits in Drosophila melanogaster inResponse to Temperature	"	"(Partridge et al., 1995)	"	"Paper"	0.385336743	0.166332434	16	16	0	0	"low"	"positive"	NA	"yes"	"standing"	"Control"	"Partridge_et_al_1995"	"Partridge_et_al_1995_1"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"	"SL_TH"
"26"	"Rapid Laboratory Evolution of Adult Life-History Traits in Drosophila melanogaster inResponse to Temperature	"	"(Partridge et al., 1995)	"	"Paper"	-0.144120248	0.144694646	16	25	9	9	"low"	"positive"	NA	"yes"	"standing"	"Control"	"Partridge_et_al_1995"	"Partridge_et_al_1995_1"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"	"SL_TH"
"27"	"Predators modify the evolutionary response of prey to temperature change	"	"(Tseng and O’Connor, 2015)	"	"Graph"	-0.056410256	0.336501624	21	18	-3	3	"high"	"negative"	7.5	"no"	"standing"	"Control"	"Tseng_and_O_Conner_2015"	"Tseng_and_O_Conner_2015_1"	"Daphnia"	"pulex"	"Daphnia pulex"	"SH_TL"
"28"	"Predators modify the evolutionary response of prey to temperature change	"	"(Tseng and O’Connor, 2015)	"	"Graph"	-0.306748466	0.147524797	21	21	0	0	"high"	"negative"	7.5	"no"	"standing"	"Control"	"Tseng_and_O_Conner_2015"	"Tseng_and_O_Conner_2015_1"	"Daphnia"	"pulex"	"Daphnia pulex"	"SH_TL"
"29"	"Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity	"	"(Hallsson and Bjorklund, 2012)"	"Graph"	0.022519065	0.02193005	36	30	-6	6	"high"	"negative"	18	"yes"	"standing"	"Control"	"Hallsson_and_Bjorklund_2012"	"Hallsson_and_Bjorklund_2012_1"	"Callosobruchus"	"maculatus"	"Callosobruchus maculatus"	"SH_TL"
"30"	"Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity	"	"(Hallsson and Bjorklund, 2012)"	"Graph"	-0.103354873	0.031891115	36	36	0	0	"high"	"negative"	18	"yes"	"standing"	"Control"	"Hallsson_and_Bjorklund_2012"	"Hallsson_and_Bjorklund_2012_1"	"Callosobruchus"	"maculatus"	"Callosobruchus maculatus"	"SH_TL"
"31"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	0.030148216	0.112642359	47	35	-12	12	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_1"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"32"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	-0.022843207	0.095295734	47	35	-12	12	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_2"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"33"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	-0.115787871	0.065163678	47	35	-12	12	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_3"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"34"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	2.723141563	0.391759283	47	45	-2	2	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_1"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"35"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	1.559170329	0.314089873	47	45	-2	2	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_2"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"36"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	2.050846727	0.314976802	47	45	-2	2	"high"	"negative"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_3"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"	"SH_TL"
"37"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.194081211	0.016978569	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_1"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"38"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.242601513	0.0367869	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_2"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"39"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.22873857	0.031127377	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_3"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"40"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.083177662	0.050935707	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_4"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"41"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.235670041	0.0367869	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_5"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"42"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.22873857	0.033957138	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_6"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"43"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.090109133	0.014148808	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_7"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"44"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.034657359	0.014148808	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_8"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"45"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.284190344	0.033957138	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_9"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"46"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.263395929	0.067914276	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_10"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"47"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.325779175	0.053765469	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_11"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"48"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.298053288	0.016978569	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_12"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"49"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.263395929	0.025467854	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_13"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"50"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.207944154	0.011319046	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_14"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"51"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.083177662	0.028297615	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_15"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"52"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.242601513	0.079233322	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_16"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"53"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.117835021	0.011319046	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_17"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"54"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.138629436	0.028297615	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_18"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"55"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.055451774	0.014148808	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_19"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"56"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.166355323	0.019808331	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_20"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"57"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.034657359	0.016978569	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_21"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"58"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.083177662	0.028297615	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_22"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"59"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.048520303	0.025467854	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_23"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"60"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.097040605	0.016978569	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_24"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"61"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.027725887	0.019808331	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_25"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"62"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.166355323	0.031127377	42.2	42.2	0	0	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_26"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"63"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.027725887	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_1"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"64"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.034657359	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_2"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"65"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.124766493	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_3"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"66"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.020794415	0.008489285	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_4"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"67"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.055451774	0.016978569	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_5"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"68"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.013862944	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_6"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"69"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.006931472	0.005659523	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_7"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"70"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.013862944	0.014148808	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_8"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"71"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0	0.014148808	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_9"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"72"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	-0.034657359	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_10"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
"73"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0	0.011319046	42.2	37	-5.2	5.2	"high"	"negative"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_11"	"Escherichia"	"coli"	"Escherichia coli"	"SH_TL"
