"Paper_title"	"Paper_author"	"Data_extraction_method"	"Sel_coeff"	"Error_new"	"Sel_temp"	"Assay_temp"	"Rel_assay_temp"	"Abs_rel_assay_temp"	"Sign"	"No_of_Gen"	"Recombination"	"Type_Gen_var"	"Anc_vs_Control"	"Study_ID"	"Curve_ID"	"Genus"	"Species"	"Scientific_name"
"15"	"Evolutionary Changes in Growth Rate and Toxin Production in the Cyanobacterium Microcystis aeruginosa Under a Scenario of Eutrophication and Temperature Increase	"	"(Rouco et al., 2011)"	"Graph"	0.454110512	0.099977683	30	30	0	0	"high"	87	"no"	"denovo"	"Anc"	"Rouco_et_al_2011"	"Rouco_et_al_2011_1"	"Microcystis"	"aeruginosa"	"Microcystis aeruginosa"
"16"	"Evolutionary Changes in Growth Rate and Toxin Production in the Cyanobacterium Microcystis aeruginosa Under a Scenario of Eutrophication and Temperature Increase	"	"(Rouco et al., 2011)"	"Graph"	0.232994415	0.096593389	30	30	0	0	"high"	87	"no"	"denovo"	"Anc"	"Rouco_et_al_2011"	"Rouco_et_al_2011_2"	"Microcystis"	"aeruginosa"	"Microcystis aeruginosa"
"17"	"Evolutionary Changes in Growth Rate and Toxin Production in the Cyanobacterium Microcystis aeruginosa Under a Scenario of Eutrophication and Temperature Increase	"	"(Rouco et al., 2011)"	"Graph"	0.738450711	0.11540214	30	30	0	0	"high"	87	"no"	"denovo"	"Anc"	"Rouco_et_al_2011"	"Rouco_et_al_2011_3"	"Microcystis"	"aeruginosa"	"Microcystis aeruginosa"
"18"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.109889187	0.015694865	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_1"	"Escherichia"	"coli"	"Escherichia coli"
"19"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.126795216	0.015738139	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_2"	"Escherichia"	"coli"	"Escherichia coli"
"20"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.084530144	0.020274771	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_3"	"Escherichia"	"coli"	"Escherichia coli"
"21"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.177513302	0.007835631	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_4"	"Escherichia"	"coli"	"Escherichia coli"
"22"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.101436173	0.025034864	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_5"	"Escherichia"	"coli"	"Escherichia coli"
"23"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.126795216	0.007559528	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_6"	"Escherichia"	"coli"	"Escherichia coli"
"24"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.143701245	0.007650818	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_7"	"Escherichia"	"coli"	"Escherichia coli"
"25"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.109889187	0.015694865	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_8"	"Escherichia"	"coli"	"Escherichia coli"
"26"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.084530144	0.007334786	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_9"	"Escherichia"	"coli"	"Escherichia coli"
"27"	"Evolution ofEscherichia colito 42C and Subsequent GeneticEngineering Reveals Adaptive Mechanisms and NovelMutations	"	"(Sandberg et al., 2014)"	"Paper"	0.13524823	0.011370605	42	42	0	0	"high"	1500	"no"	"denovo"	"Anc"	"Sandberg_et_al_2014"	"Sandberg_et_al_2014_10"	"Escherichia"	"coli"	"Escherichia coli"
"28"	"Rapid adaptation of the Irish potato famine pathogen Phytophthora infestans to changing temperature	"	"(Wu et al., 2020)	"	"Supplementary information"	1.072038152	0.279735734	8	8	0	0	"low"	20	"no"	"denovo"	"Anc"	"Wu_et_al_2020"	"Wu_et_al_2020_1"	"Phytophthora"	"infestans"	"Phytophthora infestans"
"29"	"Rapid adaptation of the Irish potato famine pathogen Phytophthora infestans to changing temperature	"	"(Wu et al., 2020)	"	"Supplementary information"	0.223177918	0.15495898	30	30	0	0	"high"	20	"no"	"denovo"	"Anc"	"Wu_et_al_2020"	"Wu_et_al_2020_2"	"Phytophthora"	"infestans"	"Phytophthora infestans"
"1100"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.106051519	0.020157852	20	20	0	0	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_1"	"Escherichia"	"coli"	"Escherichia coli"
"2100"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.067928424	0.011316689	20	20	0	0	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_2"	"Escherichia"	"coli"	"Escherichia coli"
"3100"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.078325631	0.018035973	20	20	0	0	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_3"	"Escherichia"	"coli"	"Escherichia coli"
"4100"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.080405073	0.019096912	20	20	0	0	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_4"	"Escherichia"	"coli"	"Escherichia coli"
"5100"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.14001573	0.078509528	20	40	20	20	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_1"	"Escherichia"	"coli"	"Escherichia coli"
"610"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.090109133	0.04880322	20	40	20	20	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_2"	"Escherichia"	"coli"	"Escherichia coli"
"710"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.033271065	0.037840178	20	40	20	20	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_3"	"Escherichia"	"coli"	"Escherichia coli"
"810"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.020794415	0.013438568	20	40	20	20	"low"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_4"	"Escherichia"	"coli"	"Escherichia coli"
"910"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.015267176	0.032689624	24	20	-4	4	"high"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_1"	"Daphnia"	"magna"	"Daphnia magna"
"1010"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.336633663	0.0698411	24	24	0	0	"high"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_1"	"Daphnia"	"magna"	"Daphnia magna"
"1110"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.101851852	0.033075801	24	20	-4	4	"high"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_2"	"Daphnia"	"magna"	"Daphnia magna"
"1210"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.340206186	0.068266334	24	24	0	0	"high"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_2"	"Daphnia"	"magna"	"Daphnia magna"
"1310"	"Rapid thermal adaptation in photosymbionts of reef-building corals"	"(Chakravarti et al., 2017)"	"Supplementary information"	-0.14854564	0.113505182	31	27	-4	4	"high"	80	"no"	"denovo"	"Control"	"Chakravarti_et_al_2017"	"Chakravarti_et_al_2017"	"Symbiodinium"	"sp"	"Symbiodinium sp"
"1410"	"Rapid thermal adaptation in photosymbionts of reef-building corals"	"(Chakravarti et al., 2017)"	"Supplementary information"	1.203767775	0.120335461	31	31	0	0	"high"	80	"no"	"denovo"	"Control"	"Chakravarti_et_al_2017"	"Chakravarti_et_al_2017"	"Symbiodinium"	"sp"	"Symbiodinium sp"
"1510"	"Adaptation of Paramecium caudatum to variable conditions of temperature Stress	"	"(Duncan et al., 2011)"	"Author"	-0.025131973	0.021590772	35	23	-12	12	"high"	40	"no"	"denovo"	"Control"	"Duncan_et_al_2011"	"Duncan_et_al_2011"	"Paramecium"	"caudatum"	"Paramecium caudatum"
"1610"	"Adaptation of Paramecium caudatum to variable conditions of temperature Stress	"	"(Duncan et al., 2011)"	"Author"	0.027512599	0.025706111	35	35	0	0	"high"	40	"no"	"denovo"	"Control"	"Duncan_et_al_2011"	"Duncan_et_al_2011"	"Paramecium"	"caudatum"	"Paramecium caudatum"
"1710"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	-0.00456621	0.018291258	24	20	-4	4	"high"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_1"	"Daphnia"	"magna"	"Daphnia magna"
"1810"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	-0.016853933	0.015756704	24	24	0	0	"high"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_1"	"Daphnia"	"magna"	"Daphnia magna"
"1910"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	0.028301887	0.0169836	24	20	-4	4	"high"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_2"	"Daphnia"	"magna"	"Daphnia magna"
"2010"	"POPULATION DYNAMICS DETERMINE GENETIC ADAPTATION TO TEMPERATURE IN DAPHNIA	"	"(Van Doorslaer et al., 2009)	"	"Graph"	0.02301496	0.016507171	24	24	0	0	"high"	NA	"no"	"standing"	"Control"	"Van_Doorslaer_et_al_2009"	"Van_Doorslaer_et_al_2009_2"	"Daphnia"	"magna"	"Daphnia magna"
"2110"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.328061774	0.069823739	28	24	-4	4	"high"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_1"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"
"2210"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.480277097	0.271669718	28	28	0	0	"high"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_1"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"
"2310"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	-0.167411823	0.05266045	28	24	-4	4	"high"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_2"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"
"2410"	"Mating system affects population performance and extinction risk under environmental challenge	"	"(Plesnar-Bielak et al., 2012)"	"Graph"	0.204657292	0.144778286	28	28	0	0	"high"	14	"yes"	"standing"	"Control"	"Plesnar_Bielak_et_al_2012"	"Plesnar_Bielak_et_al_2012_2"	"Rhizoglyphus"	"robini"	"Rhizoglyphus robini"
"2510"	"Rapid Laboratory Evolution of Adult Life-History Traits in Drosophila melanogaster inResponse to Temperature	"	"(Partridge et al., 1995)	"	"Paper"	0.385336743	0.166332434	16	16	0	0	"low"	NA	"yes"	"standing"	"Control"	"Partridge_et_al_1995"	"Partridge_et_al_1995_1"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"
"2610"	"Rapid Laboratory Evolution of Adult Life-History Traits in Drosophila melanogaster inResponse to Temperature	"	"(Partridge et al., 1995)	"	"Paper"	-0.144120248	0.144694646	16	25	9	9	"low"	NA	"yes"	"standing"	"Control"	"Partridge_et_al_1995"	"Partridge_et_al_1995_1"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"
"2710"	"Predators modify the evolutionary response of prey to temperature change	"	"(Tseng and O’Connor, 2015)	"	"Graph"	-0.056410256	0.336501624	21	18	-3	3	"high"	7.5	"no"	"standing"	"Control"	"Tseng_and_O_Conner_2015"	"Tseng_and_O_Conner_2015_1"	"Daphnia"	"pulex"	"Daphnia pulex"
"2810"	"Predators modify the evolutionary response of prey to temperature change	"	"(Tseng and O’Connor, 2015)	"	"Graph"	-0.306748466	0.147524797	21	21	0	0	"high"	7.5	"no"	"standing"	"Control"	"Tseng_and_O_Conner_2015"	"Tseng_and_O_Conner_2015_1"	"Daphnia"	"pulex"	"Daphnia pulex"
"2910"	"Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity	"	"(Hallsson and Bjorklund, 2012)"	"Graph"	0.022519065	0.02193005	36	30	-6	6	"high"	18	"yes"	"standing"	"Control"	"Hallsson_and_Bjorklund_2012"	"Hallsson_and_Bjorklund_2012_1"	"Callosobruchus"	"maculatus"	"Callosobruchus maculatus"
"30"	"Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity	"	"(Hallsson and Bjorklund, 2012)"	"Graph"	-0.103354873	0.031891115	36	36	0	0	"high"	18	"yes"	"standing"	"Control"	"Hallsson_and_Bjorklund_2012"	"Hallsson_and_Bjorklund_2012_1"	"Callosobruchus"	"maculatus"	"Callosobruchus maculatus"
"31"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	0.030148216	0.112642359	47	35	-12	12	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_1"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"32"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	-0.022843207	0.095295734	47	35	-12	12	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_2"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"33"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	-0.115787871	0.065163678	47	35	-12	12	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_3"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"34"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	2.723141563	0.391759283	47	45	-2	2	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_1"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"35"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	1.559170329	0.314089873	47	45	-2	2	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_2"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"36"	"Changes in growth parameters of Pseudomonas pseudoalcaligenes after ten months culturing at increasing temperature	"	"(Shi and Xia, 2003)"	"Paper"	2.050846727	0.314976802	47	45	-2	2	"high"	NA	"no"	"denovo"	"Control"	"Shi_and_Xia_2003"	"Shi_and_Xia_2003_3"	"Pseudomonas"	"pseudoalcaligenes"	"Pseudomonas pseudoalcaligenes"
"37"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.194081211	0.016978569	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_1"	"Escherichia"	"coli"	"Escherichia coli"
"38"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.242601513	0.0367869	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_2"	"Escherichia"	"coli"	"Escherichia coli"
"39"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.22873857	0.031127377	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_3"	"Escherichia"	"coli"	"Escherichia coli"
"40"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.083177662	0.050935707	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_4"	"Escherichia"	"coli"	"Escherichia coli"
"41"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.235670041	0.0367869	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_5"	"Escherichia"	"coli"	"Escherichia coli"
"42"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.22873857	0.033957138	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_6"	"Escherichia"	"coli"	"Escherichia coli"
"43"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.090109133	0.014148808	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_7"	"Escherichia"	"coli"	"Escherichia coli"
"44"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.034657359	0.014148808	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_8"	"Escherichia"	"coli"	"Escherichia coli"
"45"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.284190344	0.033957138	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_9"	"Escherichia"	"coli"	"Escherichia coli"
"46"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.263395929	0.067914276	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_10"	"Escherichia"	"coli"	"Escherichia coli"
"47"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.325779175	0.053765469	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_11"	"Escherichia"	"coli"	"Escherichia coli"
"48"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.298053288	0.016978569	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_12"	"Escherichia"	"coli"	"Escherichia coli"
"49"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.263395929	0.025467854	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_13"	"Escherichia"	"coli"	"Escherichia coli"
"50"	"Genetic Mutations That Drive Evolutionary Rescue to Lethal Temperature in Escherichia coli"	"(Batarseh et al., 2020)"	"Supplementary information"	0.207944154	0.011319046	42.2	42.2	0	0	"high"	33	"no"	"denovo"	"Anc"	"Batarseh_et_al_2020"	"Batarseh_et_al_2020_14"	"Escherichia"	"coli"	"Escherichia coli"
